ID,film,Year,Genre,RunTime,Description,IMDB_Score,Value_IMDB,CU
133,Mutant X,,"Action,Adventure,Drama",43 min,"The team are on the trail of a pyromaniac mutant who is causing mayhem, and Shalimar is forced to set aside her fear of fire to save Emma",6.4,Bad,
134,Mutant X,,"Action,Adventure,Drama",42 min,"Emma reunites with an old friend who possesses telecyber powers. The reunion turns dangerous, however, when Michelle tries to turn Emma over to the GSA.",4.0,Bad,
135,Mutant X,,"Action,Adventure,Drama",43 min,"In the exciting season opener, the surviving members of Mutant X emerge from a deadly explosion to meet the beautiful and mysterious Lexa, who makes them begin to question fundamental assumptions about their world.",6.7,Bad,Marvel
136,Mutant X,,"Action,Adventure,Drama",42 min,A New Mutant is kidnapped from his family and Mutant X set out to recover him and find out what Eckhart's interest in him is.,6.4,Bad,Marvel
137,Mutant X,,"Action,Adventure,Drama",42 min,The team encounters a mutant who kills other mutants by draining their energy. And can also come back to life after being killed. He eventually captures Emma.,6.5,Bad,
138,Mutant X,,"Action,Adventure,Drama",43 min,Shalimar reluctantly agrees to contact her estranged father when the team learn his company is involved in genetic testing and manipulation.,5.7,Bad,
139,Mutant X,,"Action,Adventure,Drama",42 min,"Eckhart seeks a mutant who can absorb energy, one who Brennan becomes romantically involved with.",6.7,Bad,
140,Mutant X,,"Action,Adventure,Drama",43 min,When a plague that only affects mutants is raging. Adam and Eckhart agree to work together to find a cure. And helping Adam is a mutant who is impervious to harm who thinks of it more as a curse rather than a blessing.,6.5,Bad,
141,Mutant X,,"Action,Adventure,Drama",43 min,"A mutant who has the ability to inter phase with any computer with his mind, who is paralyzed after an encounter with the team, takes over Sanctuary's computers. Shalimar and Lexa get out, ...                See full summary »",5.6,Bad,
142,Mutant X,,"Action,Adventure,Drama",43 min,"A military plane is shot down behind enemy lines, prompting the team to make a desperate bid to recover the secret government weapon that is hidden on board, before innocent lives are threatened.",6.3,Bad,
143,Mutant X,,"Action,Adventure,Drama",42 min,A mutant with telepathic abilities who can make people experience mentally anything he wants manages to get into the minds of Mutant X. Now he is making them experience their worse fears. ...                See full summary »,7.1,Good,Marvel
144,Mutant X,,"Action,Adventure,Drama",43 min,The team step in to protect a main prosecution witness whose life has been threatened prior to the trial.,7.4,Good,
145,Mutant X,,"Action,Adventure,Drama",43 min,The team wrestle to contain Brennan's out-of-control mutant powers when he puts the mission to protect a senator's daughter in danger.,7.6,Good,
146,Mutant X,,"Action,Adventure,Drama",43 min,"In a desperate attempt to save his own life, Ashlocke revives an ancient Egyptian alchemist who poses a lethal threat to the Mutant X team.",6.8,Bad,Marvel
147,Mutant X,,"Action,Adventure,Drama",43 min,Brennan and the Mutant X team join forces with a time traveling mutant to defuse a bomb threatening devastating consequences.,6.0,Bad,Marvel
148,Mutant X,,"Action,Adventure,Drama",43 min,The team struggle to disempower a military colonel who has threatened to unleash a nuclear holocaust.,6.0,Bad,
149,Mutant X,,"Action,Adventure,Drama",42 min,Adam is framed for murder by a New Mutant with the ability to steal people's memories.,6.2,Bad,Marvel
150,Mutant X,,"Action,Adventure,Drama",43 min,Brennan battles with a Guardian of the Prophecy to stop the late mutant Ashlocke's plan from beyond the grave of world domination.,6.0,Bad,
151,Mutant X,,"Action,Adventure,Drama",43 min,Shalimar gets into difficulties when the team encounter a Cold War-era mutant with the ability to alter reality and destroy people's minds.,6.0,Bad,Marvel
152,Mutant X,,"Action,Adventure,Drama",43 min,The team help the crew of an ocean research station threatened by a prehistoric creature - previously thought to be extinct.,6.1,Bad,
153,Mutant X,,"Action,Adventure,Drama",43 min,Mutant X comes to the aid of a teenager New Mutant pursued by Russians - she holds the secret to a new weapon that targets mutants.,6.0,Bad,Marvel
154,Mutant X,,"Action,Adventure,Drama",43 min,The Mutant X team is called in to investigate bizarre activities occurring at a local hospital.,5.6,Bad,Marvel
155,Mutant X,,"Action,Adventure,Drama",43 min,"Three extraterrestrials who pose a serious threat to humanity target Shalimar, so the team set out to save her from their evil clutches.",6.7,Bad,
156,Mutant X,,"Action,Adventure,Drama",43 min,"Many of the mysteries surrounding Mutant X are revealed when Lexa and Jesse are captured by the Dominion and the team, along with Adam, goes in to rescue them.",6.2,Bad,Marvel
157,Mutant X,,"Action,Adventure,Drama",43 min,The Mutant X team is brought in to help a military base that has become infected with a deadly disease.,5.5,Bad,Marvel
158,Mutant X,,"Action,Adventure,Drama",43 min,"Ashlocke is desperate to find a cure for his fatal condition, and infiltrates the Sanctuary to blackmail Adam into getting hold of the antidote.",5.9,Bad,
