ID,film,Year,Genre,RunTime,Description,IMDB_Score,Value_IMDB
67,The Oscars,(2020 TV Special),Music,170 min,The 92nd Academy Awards for film achievements in 2019 are presented by the Academy of Motion Picture Arts and Sciences.,6.6,Bad
68,Avengers: Damage Control,(2019 Video Game),Action,0,"Join Shuri on an adventure where you are the hero. Combining Wakandan and stark technology you will become a superhero yourself. Fight along Doctor Strange, Ant-Man, The Wasp and many more against an old foe from long ago..",6.6,Bad
69,The Sinister Six,,Sci-Fi,0,Plot unknown. Feature film based on the Marvel Comics series about a team of supervillians.,0.0,Bad
70,Ultimate Avengers: The film,(2006 Video),"Animation,Action,Adventure",72 min,"To confront an alien menace, General Fury assembles a team of superheroes lead by a recently resuscitated Captain America.",6.7,Bad
71,The Oscars,(2016 TV Special),"Comedy,Music",175 min,The 88th Academy Awards ceremony honors achievement in film in 2015.,6.4,Bad
72,The Oscars,(2015 TV Special),"Comedy,Music",223 min,The Academy of Motion Picture Arts and Sciences celebrates the year's achievements in film.,6.6,Bad
73,Iron Man,-2010,"Animation,Action,Sci-Fi",25 min,"When Tony Stark branches his company into Japan, he is opposed by the nefarious Zodiac organization. It's up to Stark's Iron Man to defeat the Zodiac, and defend Japan.",6.4,Bad
74,Marvel One-Shot: Item 47,(2012 Video),"Short,Action,Sci-Fi",12 min,SHIELD agent Sitwell is assigned to recover an abandoned Chitauri weapon being used by a young couple robbing a bank.,6.7,Bad
75,Marvel One-Shot: The Consultant,(2011 Video),"Short,Sci-Fi",4 min,"Agents Coulson and Sitwell plan to derail General Thaddeus ""Thunderbolt"" Ross from interfering with S.H.I.E.L.D. affairs with a very special person.",6.6,Bad
76,The Invincible Iron Man,(2007 Video),"Animation,Action,Adventure",83 min,"When a cocky industrialist's efforts to raise an ancient Chinese temple leads him to be seriously wounded and captured by enemy forces, he must use his ideas for a revolutionary power armor in order to fight back as a superhero.",5.9,Bad
77,Blade,-2011,"Animation,Action,Horror",25 min,"Legendary half-vampire, half-human vampire hunter Blade is tracking Deacon Frost, a very powerful and influential vampire who killed his mother and who heads Existence, a secretive vampire organization that operates in Southeast Asia.",6.5,Bad
78,Iron Man,(2008 Video Game),"Action,Adventure,Sci-Fi",0,"Tony Stark, gets kidnapped and forced to build a devastating weapon. Instead, he builds a high-tech suit of armor and escapes captivity. When he uncovers a nefarious plot with global implications, he vows to protect the world as Iron Man.",6.9,Bad
79,Thor: Tales of Asgard,(2011 Video),"Animation,Action,Adventure",77 min,The young Norse god Thor embarks on a quest with his brother Loki to find and recover a legendary sword.,6.3,Bad
80,The Oscars,(2018 TV Special),"Comedy,Music",187 min,"The 90th Annual Academy Awards ceremony, hosted by Jimmy Kimmel, celebrates the film industry's biggest achievements for the year 2017.",5.7,Bad
81,The Oscars,(2017 TV Special),"Comedy,Music",229 min,"The 89th Annual Academy Awards ceremony celebrates the film industry's best and biggest in cinema for the year 2016 with host Jimmy Kimmel, including awards for best actors, directors, songs, original screenplays and motion picture.",6.7,Bad
82,Iron Man 2,(2010 Video Game),"Action,Adventure,Crime",0,Video game based upon the film of the same name.,6.2,Bad
83,Echo,(II),"Action,Adventure,Crime",0,Plot Unknown.,0.0,Bad
84,Iron Man and Captain America: Heroes United,(2014 Video),"Animation,Action,Adventure",71 min,"Iron Man and Captain America battle to keep the Red Skull and his triggerman, Taskmaster, from unleashing an army of Hydra Brutes on the world.",5.5,Bad
85,Untitled Wakanda Project,,"Action,Adventure,Sci-Fi",0,Plot under wraps.,0.0,Bad
86,Iron Man & Hulk: Heroes United,(2013 Video),"Animation,Action,Adventure",71 min,The Invincible Iron Man and the Incredible Hulk must join forces to save the Earth from its greatest threat yet.,4.7,Bad
87,Lego Marvel Avengers: Climate Conundrum,(2020– ),Animation,30 min,"When Tony Stark's new weather machine is stolen by AIM, it's up to Black Widow and Hawkeye to retrieve it, taking them on a high-speed chase through New York City.",7.3,Good
88,Marvel Studios: Expanding the Universe,-2019,"Documentary,Short",12 min,"An exciting look into the future of Marvel Studios, including never-before-seen footage featuring tales and filmmakers from upcoming Disney+ series.",6.8,Bad
89,Marvel Studios: Assembling a Universe,(2014 TV film),"Documentary,History",43 min,"A look at the story behind Marvel Studios and the Marvel Cinematic Universe, featuring interviews and behind-the-scenes footage from all of the Marvel films, the Marvel One-Shots and ""Marvel's Agents of S.H.I.E.L.D.""",7.4,Good
90,Stuntwomen: The Untold Hollywood Story,-2020,Documentary,84 min,An action-documentary about the evolution of stunt women from The Perils of Pauline (1914) and beyond.,7.0,Good
91,Untitled Marvel Cinematic Universe Television Show,,Action,0,Plot kept under wraps.,0.0,Bad
92,Spider-Man Venom Saga,-2005,Animation,100 min,A story arc from the 1994 animated series Spider-Man that focused on Venom.,7.7,Good
93,Spider-Man: The Ultimate Villain Showdown,(2002 Video),"Animation,Action,Adventure",79 min,"Featuring Green Goblin, Kingpin, and Dr. Octopus.",7.0,Good
94,2016 MTV film Awards,(2016 TV Special),"Comedy,News",0,"In a world of award shows that suck, MTV gives you an award show that doesn't suck. Kevin Hart and Dwayne ""The Rock"" Johnson host the 2016 MTV film Awards, an irreverent, in-your-face celebration of the films fans really love with the stars they actually care about. And unlike other award shows, the fans choose the winners, not some exclusive committee of old, rich people. The show includes ...                See full summary »",5.2,Bad
